동물원에 소는 없을껄여.	동물원에 소는 없을걸요.
다음으로 줄리아씨가 발표하세요.	다음으로 줄리아 씨가 발표하세요.
물이 다 끌었는데 라면에 물을 부을까여?	물이 다 끓었는데 라면에 물을 부을까요?
주가 폭락은 오늘 잠시 주춤했지만 아직 시장 불안요소가 상존을 하고 있어 상황을 낙관하기는 어렵다.	주가 폭락은 오늘 잠시 주춤했지만 아직 시장 불안 요소가 상존을 하고 있어 상황을 낙관하기는 어렵다.
신랑 측은 소송을 제기하는 데에 대해 신부 측의 반응을 본 뒤에 제기하는 것으로 결론을 내렸다.	신랑측은 소송을 제기하는 데 대해 신부측의 반응을 본 뒤에 결정하는 것으로 계획을 세웠다.
유럽에서는 노동전에 공산주의자들이 적기를 앞세우고 시가 행진을 하는 것이 놀라운 일은 아니다.	유럽에서는 노동절에 공산주의자들이 적기를 앞세우고 시가행진을 하는 것이 놀라운 일은 아니다.
비가 오느라고 구름이 끼었다.	비가 오느라고 구름이 꼈다.
단풍은 북쪽으로부터 꽃은 남쪽으로부터 시작되는군요.	아 단풍은 북쪽으로부터 꽃은 남쪽으로부터 시작되는군요.
어떤 소설을 잃어보게요?	어떤 소설을 읽어 보게요?
정치인으로서 그와 소속 간부들이 행한 모든 처신과 발언에 대한 책임은 정치를 포기한다해서 면책되지 않는다.	정치인으로서 그와 소속간부들이 행한 모든 처신과 발언에 대한 책임은 정치를 포기한다 해서 면책되지 않는다.
선거 기간에 한 후보자가 상대 후보자가 선거법을 위반했다고 음해하는 사건은 후진국에서 비일비재하다.	선거 기간에 한 후보자가 상대 후보자를 선거법을 위반했다고 음해하는 사건은 후진국에서는 비일비재하다.
누구와 살든지 기본적인 예절은 지켜야해요.	누구와 살든지 기본적인 예절은 지켜야 해요.
첫 월급을 받거든 고생하신 부모님께 모두 드리겠어여.	첫 월급을 받거든 고생하신 부모님께 모두 드리겠어요.
김치가 너무 매워서 못먹었어요.	김치가 너무 매워서 못 먹었어요.
그 영화가 재미이써써요.	그 영화가 재미있었어요.
이옷을 한번 입어보세요.	이 옷을 한번 입어 보세요.
경찰은 사람들에게 왜 자동차 사고가 일어날 수 밖에 없는지에 대해 다음과 같은 신례를 들었다.	경찰은 사람들에게 왜 자동차 사고가 일어날 수밖에 없었는지에 대해 다음과 같은 실례를 들었다.
무엇을 하던지 마음가짐이 중요해요.	무엇을 하든지 마음가짐이 중요해요.
살이 찔까봐 걱정이 돼서 먹을수가 없어여.	살이 찔까 봐 걱정이 돼서 먹을 수가 없어요.
